loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
-2.6659310744064895,-0.16675556879740727,0.8920598671522469,-0.05053896651868376,-1.8434789175365756,-1.8434789175365756,2.526628811809029,-1.575404320403488,-1.6842647310993564,-1.664716698896331,2.2133808301855527,-0.6051105177778615,-0.917415136527579,0.75685576986198,0.18875108913398325,1.7813453752276471,-1.7254135281812708,-0.7958768004988392,-1.7254135281812708,-0.7958768004988392,-0.16675556879740727
-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.870457269800292,2.423894007150238,-1.645784855204261,-1.704478407553828,-1.6942850372803293,1.928903829801507,-0.6579712242442415,-1.7697101878665493,0.5013528158918835,-0.05535690664438449,1.327749011229978,-5.199337582605575,-1.137622108160429,-5.199337582605575,-1.137622108160429,-5.199337582605575
2.526628811809029,2.526628811809029,2.891115377819255,2.66593107440649,2.526628811809029,2.526628811809029,-1.6942850372803293,5.19933758270342,1.684264731099356,2.66593107440649,2.526628811809029,2.66593107440649,2.526628811809029,2.341744335404308,1.0585006484917596,2.891115377819255,5.19933758270342,2.526628811809029,2.526628811809029,2.526628811809029,2.526628811809029
2.2133808301855527,2.341744335404308,1.870457269800291,2.050587838324904,2.160808014266898,2.160808014266898,-1.420472223552021,2.0312810997861543,1.994794851618006,2.160808014266898,2.113605867001934,2.160808014266898,2.272892986469732,1.8704572698002926,2.242144800238066,2.2133808301855558,2.012703097648963,2.2133808301855527,2.113605867001934,2.2133808301855527,2.341744335404308
1.994794851618006,2.050587838324904,1.9289038298015084,1.8434789175365756,1.9947948516180225,1.99479485161801,-1.420472223552021,1.704478407553828,2.2133808301855527,1.9289038298015084,1.9607856671853765,1.9289038298015084,2.0706906353824084,1.504558510058165,1.758309761565154,2.0706906353824084,1.2936760214359988,1.9289038298015084,1.9947948516180163,2.0312810997861543,2.050587838324904
1.9289038298015084,1.6365360500567534,1.9775043888317434,1.6184473772188215,1.8988699752923262,1.928903829801507,-1.420472223552021,1.8704572698002926,1.725413528181273,1.8988699752923262,1.870457269800291,1.8988699752923262,2.0312810997861543,0.75685576986198,1.8434789175365756,-5.199337582605575,1.4682565486582748,1.7852779056806456,1.8704572698002926,1.9289038298015084,1.6365360500567534
1.8988699752923262,1.3453789822579942,1.3882294787598883,1.6184473772188215,1.8704572698002926,1.843478917536577,-1.420472223552021,1.8434789175365756,1.704478407553828,1.8704572698002926,1.8053669813669182,1.8704572698002926,1.7471333855861506,1.9607856671853765,1.6457848552042609,-5.199337582605575,1.2936760214359988,1.7148520223266916,1.8434789175365756,1.8704572698003135,1.351349528717702
-1.7471333855861506,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.7697101878665493,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575
0.05535690664438435,0.009622521909273988,-5.199337582605575,0.1545712851370426,-0.052947782949698825,-0.02887113062804599,0.13755134671251334,-0.05053896651868376,-0.14970409073619328,-0.02405825415419817,-0.0481304432995264,-0.02405825415419817,-0.02405825415419803,-5.199337582605575,-0.05535690664438449,-5.199337582605575,0.10362567613231316,-0.026464615763444187,-0.0384990019108098,-0.060176132095158257,0.009622521909273988
-0.12057116374708483,0.009622521909273988,-5.199337582605575,0.1545712851370426,-0.13026955422547518,-0.13512329113490915,0.00240559567392375,0.08912480345022869,-0.3871347808002019,-0.06981888990067726,-0.181409624115343,-0.06981888990067726,-0.02405825415419803,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.012028256801852719,-0.2802696505604204,-0.1181483726824073,-0.1716361209108693,0.009622521909273988
