loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
-1.4750350748600225,0.21764158534041747,1.1047690864408186,0.2843713377546182,-1.4416633506135927,-1.4372989928100262,2.329394361479896,-1.1533585156085735,-1.4090155109491125,-1.386815494801705,3.0906663694184267,-0.41399848062058725,-0.3548222977134121,1.1497417570435928,0.670557440622858,1.994970970827795,-1.3694270539232538,-0.5697060433780973,-1.375457918562496,-0.5847895741539832,0.21401645896690505
-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.6395387799723165,-1.4395095947473817,1.918441485013229,-1.2447784131572894,-1.4101510111351563,-1.397836528971104,2.5117912497307806,-0.4675753346597882,-0.5716375251650858,0.879040384840073,0.3548222977134122,1.6844636845245362,-1.5843543102241497,-0.9127741025865953,-1.5887709585727845,-0.9223302184168565,-5.199337582605575
1.7274655664796175,1.6590927841580632,-5.199337582605575,1.7619480328408437,1.4461035929181751,1.4475020013999993,-1.1768904376238725,1.6557008596079825,0.9950337121499239,1.581927756562175,1.4390013150939511,1.5819283296318514,1.7055704338395001,2.023292079235193,1.401176963756683,-5.199337582605575,1.529558186142137,1.301190684205984,1.4354772341828732,1.4715547920810808,1.669112456535541
1.1497417570435928,1.4284820653066648,1.634746967913314,1.529558186142137,1.2861895530022875,1.3043244225197985,-0.766391408313155,1.1115205309384826,1.3271849132171623,1.237938670329315,1.3070633676592225,1.2379375942234057,1.164443705970982,1.1497417570435928,1.2696643851806635,-5.199337582605575,1.3402004659340858,1.4045331071795468,1.2724783736910656,1.261854331564332,1.4319708910352653
0.7039217888285135,0.6895289039903829,-5.199337582605575,0.7782249060548562,0.6752774632720802,0.6610273669364468,-0.4252277308747451,0.6877182198692406,0.5790394381393529,0.6926166992595332,0.6241447422049652,0.6926168265920405,0.8056920745819013,-5.199337582605575,0.670557440622858,-5.199337582605575,0.6911210235519155,0.4710043372154918,0.761352674464305,0.5379803848163829,0.6879385303621104
1.0841951575592066,0.6895289039903829,-5.199337582605575,0.7782249060548562,1.116368890290762,1.0927128866858877,-0.5879638515001888,0.8478775816817083,1.2958301792652271,1.0134435689181351,1.0932722699878603,1.013437736085789,1.1187114396503335,1.1497417570435928,1.135284209184952,-5.199337582605575,0.6911210235519155,1.044408794872596,1.1400769252954,1.0841951575592066,0.6879385303621104
1.1895222157453649,1.2127505015980073,-5.199337582605575,1.327981604121872,1.327981604121872,1.276621437038188,-0.8957798188835894,1.1541301531582555,1.2463966493416834,1.2473637795001835,1.2724783736910668,1.2473621133052966,1.2447784131572894,1.1497417570435928,0.670557440622858,-5.199337582605575,0.8126540791496972,1.0955556636289017,1.3340661379646257,1.3011906842059844,1.2180019723677067
1.5376912498720514,1.7444475421409682,-5.199337582605575,1.8658520907135017,1.7387310479091875,1.6551643186701752,-1.1768904376238725,1.8812971060424573,1.1257762007300158,1.7240797077470071,1.6395387799723158,1.7240772872924035,1.685071632066132,1.3371270124444137,0.670557440622858,-5.199337582605575,1.3402004659340858,1.1424831327370564,1.8114574488804083,1.59321881802305,1.7502216171233853
1.164443705970982,1.2127505015980073,-5.199337582605575,1.327981604121872,1.327981604121872,1.2708618494529254,-0.8957798188835894,1.2153720472997755,1.1709369930553775,1.2721581958953623,1.2724783736910668,1.2721590515115841,1.2447784131572894,1.1497417570435928,0.3548222977134122,-5.199337582605575,0.8126540791496972,1.044408794872596,1.3340661379646257,1.3011906842059844,1.2180019723677067
1.1895222157453649,1.324957688892978,-5.199337582605575,1.4425433583574943,1.368450292253209,1.3402004659340858,-0.8957798188835894,1.328385796888026,1.1369683890932376,1.3401836657735615,1.3432866315231813,1.34018354181321,1.261282157758418,1.1497417570435928,0.3548222977134122,-5.199337582605575,1.0887225007402812,1.1424831327370564,1.365257371218065,1.3432866315231813,1.3340661379646257
1.3716572255726536,1.5135889315270525,-5.199337582605575,1.6022103183576315,1.5812119385646632,1.5225954323156115,-1.0379371869749336,1.5216238941718991,1.2663077259802544,1.5755680890834245,1.5175450472144203,1.5755677908833257,1.4461035929181751,1.1497417570435928,0.670557440622858,-5.199337582605575,1.225942748902993,1.301190684205984,1.5976984220914237,1.5364158199278475,1.5215250573925467
1.4941549086209052,1.2127505015980073,-5.199337582605575,1.1768904376238725,1.368450292253209,1.3402004659340858,-1.0379371869749336,1.4662347967997582,1.0082962788077672,1.407960094903907,1.3432866315231813,1.407958132915665,1.5336120376100353,1.4903351443303179,1.2696643851806635,-5.199337582605575,1.0887225007402812,1.1424831327370564,1.3041214037998634,1.4390013150939511,1.2180019723677067
2.013671405766343,1.6590927841580632,1.4079051458418637,1.529558186142137,1.926242152325979,1.91185897299434,-1.1768904376238725,1.8249294043982416,1.6845471283333544,1.8955763649234663,1.8997606993761464,1.8955763581313627,2.0136714057663454,2.2899878321264273,1.8952592947862104,-5.199337582605575,1.6492369585066664,1.8312243273394455,1.9117659435883323,1.9427030124793654,1.669112456535541
0.670557440622858,0.8920383589928601,-5.199337582605575,0.9999859292761342,0.8266977298382983,0.8195569799626337,-0.5879638515001888,0.854326905892561,0.6968306567924546,0.8312398615166408,0.839121020439341,0.8312426599132748,0.7731401540191065,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.6911210235519155,0.7799242980174864,0.7901683975457864,0.8957798188835897,0.8957798188835897
1.6488007656031225,2.307606709113698,2.3652476466815213,2.575483324008602,1.7387310479091875,1.6735938419197616,-1.3011906842059844,1.9631894525627087,1.0636316887734616,1.7754043625948728,1.6741857759106467,1.7754042955529337,1.669112456535541,1.817967704173569,1.5215250573925467,-5.199337582605575,1.529558186142137,1.2475054798420075,1.7869814490106235,1.6252743979297104,2.307606709113698
-0.016310116285324295,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.08667363855178402,-0.05886721681787663,0.208504800392331,-0.007527483323829474,-0.05369612867696786,-0.058273974022689856,0.011291358281129772,-0.0583649032842543,-0.010036718154949801,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.1043180970251652,0.007527483323829196,-0.09171191948527647,-0.07157147317761971,-5.199337582605575
0.35215139697893266,0.3911373748225638,-5.199337582605575,0.4626104126272192,0.522098714328474,0.5303848071484362,-0.05522908732975686,0.23938016267175283,0.8502108459405998,0.411865140112079,0.49780907548583325,0.4118513737883579,0.5063476573610789,-5.199337582605575,0.3548222977134122,-5.199337582605575,0.27048547902722114,0.7119811052447251,0.4668032636545882,0.5939395388892443,0.384374765774373
1.8312243273394455,1.324957688892978,1.225942748902993,1.327981604121872,1.817062189640398,1.8017516498219535,-1.3011906842059844,1.9978361687782833,1.2840597218476195,1.8710963655708546,1.7923740229175138,1.8710927637640093,1.7739218615170373,1.4903351443303179,2.0744446087255772,-5.199337582605575,1.9858764248174532,1.6492369585066664,1.8361521564989964,1.7636028860523894,1.2781367835433017
0.63178476896318,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.7663914083131549,0.7627588036273988,0.046435724770526994,0.16137904273423911,1.708073080337955,0.5085897816634957,0.7364424784433313,0.5085811953826762,0.707140001621795,-5.199337582605575,0.3548222977134122,-5.199337582605575,0.1043180970251652,0.8753538882544654,0.8074289049225601,0.6959079368789585,-5.199337582605575
0.8373383608517686,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.12705243342112585,0.15746946013461435,0.2471336338581233,-0.046435724770526994,0.5208200850471056,0.07580050856217059,0.1701847241123691,0.07593363997157673,0.707140001621795,-5.199337582605575,0.3548222977134122,-5.199337582605575,-0.21235276704949826,0.6089726877092596,-0.3150117233426268,0.49638951717942476,-5.199337582605575
0.8373383608517686,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.6226211131134609,0.2678837675840495,-1.3011906842059844,2.4108977210750004,-1.4028632186037175,0.8551584965590019,0.30579628164909695,0.855158415100791,0.9634229068168816,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.7446944477101248,-0.9127741025865953,0.5423352337895949,0.7697613987560095,-5.199337582605575
0.9261763243026125,0.6895289039903829,-5.199337582605575,0.7782249060548562,1.0724760347158737,1.053147772254531,-0.6674190444558503,0.9734487290930867,1.018095121882491,1.0403445276662868,1.059682011223806,1.0403455250891565,1.0082940609516682,-5.199337582605575,0.9475799380826426,-5.199337582605575,0.8126540791496972,0.9242515623566281,1.097844783708499,1.0465757410306638,0.6879385303621104
0.7039217888285135,0.8920383589928601,-5.199337582605575,0.9999859292761342,0.659601627607081,0.6065113329895827,-0.766391408313155,1.0072883786852527,0.200426789577912,0.7681643451117806,0.6241447422049652,0.7681652127388299,0.7731401540191065,-5.199337582605575,0.9475799380826426,-5.199337582605575,0.4348605326986135,0.32028967585708196,0.6226211131134609,0.7184619962535121,0.8957798188835897
0.5379803848163829,1.324957688892978,1.7387310479091875,0.7782249060548562,0.6226211131134609,0.6193114363913851,-0.5063476573610789,0.7171471760597458,0.500583161567256,0.6837306913260889,0.6241447422049652,0.6837385130607774,0.5627963389464197,-5.199337582605575,0.3548222977134122,-5.199337582605575,0.5716375251650858,0.6089726877092596,0.587963851500189,0.6959079368789585,1.3340661379646257
2.053335604240414,1.9105995981591772,-5.199337582605575,2.063775162656554,1.926242152325979,1.8458950622386778,-1.3011906842059844,2.056498491875199,1.3425297710600894,1.9423791964367323,1.837975157391464,1.9423792762852083,1.9427030124793654,2.877846118927186,1.401176963756683,-5.199337582605575,1.529558186142137,1.4354772341828732,1.9883571066877694,1.7982228058199077,1.9028734734462218
0.9261763243026125,0.8920383589928601,-5.199337582605575,0.9999859292761342,0.8698463380137418,0.8451621935224736,-0.766391408313155,1.0628547932590502,0.5094330624490294,0.925989521711404,0.839121020439341,0.9259904009716668,1.0315087602176443,-5.199337582605575,0.670557440622858,-5.199337582605575,0.8126540791496972,0.6627237321480087,0.858909603950358,0.8957798188835897,0.8957798188835897
0.8845926423808339,0.8920383589928601,-5.199337582605575,0.9999859292761342,0.8179015356232605,0.8091778571341119,-0.766391408313155,1.077445511147958,0.4311213834317836,0.9033903811258257,0.7884553079874755,0.9033898648891342,1.0082940609516682,-5.199337582605575,0.3548222977134122,-5.199337582605575,0.8126540791496972,0.6089726877092596,0.8074289049225601,0.8373383608517686,0.8957798188835897
0.40744159301214816,0.3911373748225638,-5.199337582605575,0.4626104126272192,0.207222833412141,0.1918651355188976,-0.15746946013461435,0.3735908953653471,0.01380069383179172,0.24842731208518273,0.1701847241123691,0.24842731208518273,0.4348605326986135,-5.199337582605575,0.9475799380826426,-5.199337582605575,0.27048547902722114,0.007527483323829196,0.26268576068373706,0.12199509496959803,0.384374765774373
