,Class
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,2
13,1
14,1
15,2
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,2
29,2
30,1
31,1
32,2
33,2
34,2
35,1
36,2
37,1
38,1
39,1
40,1
41,2
42,2
43,1
44,2
45,2
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,1
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,2
79,1
80,1
81,1
82,2
83,1
84,1
85,1
86,2
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,2
101,2
102,1
103,2
104,1
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,1
114,2
115,2
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,2
125,2
126,1
127,1
128,1
129,1
130,1
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,2
141,1
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,2
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,2
183,1
184,1
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,1
193,2
194,2
195,1
196,1
197,1
198,2
199,1
200,1
201,1
202,2
203,2
204,2
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,1
214,1
215,2
216,2
217,1
218,2
219,1
220,1
221,1
222,1
223,2
224,1
225,1
226,1
227,1
228,2
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,2
237,1
238,2
239,1
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,2
253,2
254,2
255,1
256,1
257,1
258,2
259,1
260,1
261,1
262,1
263,1
264,2
265,2
266,1
267,1
268,1
269,1
270,1
271,2
272,1
273,1
274,1
275,2
276,2
277,1
278,1
279,1
280,1
281,2
282,1
283,2
284,1
285,1
286,1
287,2
288,1
289,1
290,1
291,2
292,1
293,2
294,1
295,1
296,1
297,2
298,1
299,2
300,2
301,1
302,1
303,2
304,1
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,2
313,2
314,1
315,2
316,2
317,1
318,1
319,2
320,1
321,1
322,1
323,2
324,1
325,2
326,2
327,2
328,2
329,2
330,1
331,1
332,1
333,2
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,2
343,1
344,2
345,1
346,1
347,1
348,1
349,2
350,1
351,1
352,1
353,1
354,1
355,2
356,1
357,1
358,1
359,2
360,1
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,1
369,1
370,1
371,2
372,1
373,2
374,2
375,1
376,1
377,2
378,1
379,2
380,1
381,1
382,1
383,2
384,1
385,1
386,2
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,2
396,1
397,1
398,1
399,1
400,2
401,1
402,1
403,2
404,1
405,1
406,2
407,1
408,1
409,1
410,1
411,2
412,1
413,2
414,2
415,1
416,1
417,2
418,1
419,1
420,1
421,2
422,1
423,2
424,1
425,1
426,2
427,1
428,2
429,1
430,1
431,2
432,1
433,2
434,2
435,2
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,2
445,2
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,2
455,1
456,2
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,2
465,2
466,2
467,2
468,1
469,1
470,1
471,2
472,2
473,2
474,2
475,2
476,1
477,1
478,1
479,1
480,2
481,1
482,1
483,2
484,1
485,1
486,1
487,1
488,2
489,2
490,1
491,2
492,1
493,2
494,1
495,2
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,2
511,1
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,2
525,2
526,1
527,1
528,1
529,1
530,2
531,1
532,2
533,1
534,2
535,1
536,1
537,1
538,1
539,2
540,2
541,2
542,2
543,1
544,1
545,2
546,1
547,1
548,1
549,1
550,1
551,2
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,2
565,1
566,2
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,2
579,1
580,1
581,1
582,2
