,class
0,B
1,R
2,R
3,R
4,R
5,R
6,R
7,R
8,R
9,R
10,R
11,R
12,R
13,R
14,R
15,R
16,R
17,R
18,R
19,R
20,R
21,R
22,R
23,R
24,R
25,L
26,B
27,R
28,R
29,R
30,B
31,R
32,R
33,R
34,R
35,R
36,R
37,R
38,R
39,R
40,R
41,R
42,R
43,R
44,R
45,R
46,R
47,R
48,R
49,R
50,L
51,L
52,B
53,R
54,R
55,L
56,R
57,R
58,R
59,R
60,B
61,R
62,R
63,R
64,R
65,R
66,R
67,R
68,R
69,R
70,R
71,R
72,R
73,R
74,R
75,L
76,L
77,L
78,B
79,R
80,L
81,B
82,R
83,R
84,R
85,L
86,R
87,R
88,R
89,R
90,B
91,R
92,R
93,R
94,R
95,R
96,R
97,R
98,R
99,R
100,L
101,L
102,L
103,L
104,B
105,L
106,L
107,R
108,R
109,R
110,L
111,R
112,R
113,R
114,R
115,L
116,R
117,R
118,R
119,R
120,B
121,R
122,R
123,R
124,R
125,L
126,B
127,R
128,R
129,R
130,B
131,R
132,R
133,R
134,R
135,R
136,R
137,R
138,R
139,R
140,R
141,R
142,R
143,R
144,R
145,R
146,R
147,R
148,R
149,R
150,L
151,L
152,L
153,B
154,R
155,L
156,B
157,R
158,R
159,R
160,L
161,R
162,R
163,R
164,R
165,B
166,R
167,R
168,R
169,R
170,R
171,R
172,R
173,R
174,R
175,L
176,L
177,L
178,L
179,L
180,L
181,L
182,B
183,R
184,R
185,L
186,B
187,R
188,R
189,R
190,L
191,R
192,R
193,R
194,R
195,L
196,R
197,R
198,R
199,R
200,L
201,L
202,L
203,L
204,L
205,L
206,L
207,L
208,B
209,R
210,L
211,L
212,R
213,R
214,R
215,L
216,B
217,R
218,R
219,R
220,L
221,R
222,R
223,R
224,R
225,L
226,L
227,L
228,L
229,L
230,L
231,L
232,L
233,L
234,B
235,L
236,L
237,L
238,R
239,R
240,L
241,L
242,R
243,R
244,R
245,L
246,B
247,R
248,R
249,R
250,L
251,L
252,B
253,R
254,R
255,L
256,R
257,R
258,R
259,R
260,B
261,R
262,R
263,R
264,R
265,R
266,R
267,R
268,R
269,R
270,R
271,R
272,R
273,R
274,R
275,L
276,L
277,L
278,L
279,L
280,L
281,L
282,B
283,R
284,R
285,L
286,B
287,R
288,R
289,R
290,L
291,R
292,R
293,R
294,R
295,L
296,R
297,R
298,R
299,R
300,L
301,L
302,L
303,L
304,L
305,L
306,L
307,L
308,L
309,R
310,L
311,L
312,B
313,R
314,R
315,L
316,L
317,R
318,R
319,R
320,L
321,R
322,R
323,R
324,R
325,L
326,L
327,L
328,L
329,L
330,L
331,L
332,L
333,L
334,L
335,L
336,L
337,L
338,B
339,R
340,L
341,L
342,B
343,R
344,R
345,L
346,L
347,R
348,R
349,R
350,L
351,L
352,L
353,L
354,L
355,L
356,L
357,L
358,L
359,L
360,L
361,L
362,L
363,L
364,B
365,L
366,L
367,L
368,R
369,R
370,L
371,L
372,B
373,R
374,R
375,L
376,L
377,L
378,B
379,R
380,L
381,B
382,R
383,R
384,R
385,L
386,R
387,R
388,R
389,R
390,B
391,R
392,R
393,R
394,R
395,R
396,R
397,R
398,R
399,R
400,L
401,L
402,L
403,L
404,L
405,L
406,L
407,L
408,B
409,R
410,L
411,L
412,R
413,R
414,R
415,L
416,B
417,R
418,R
419,R
420,L
421,R
422,R
423,R
424,R
425,L
426,L
427,L
428,L
429,L
430,L
431,L
432,L
433,L
434,L
435,L
436,L
437,L
438,B
439,R
440,L
441,L
442,B
443,R
444,R
445,L
446,L
447,R
448,R
449,R
450,L
451,L
452,L
453,L
454,L
455,L
456,L
457,L
458,L
459,L
460,L
461,L
462,L
463,L
464,L
465,L
466,L
467,L
468,B
469,R
470,L
471,L
472,L
473,R
474,R
475,L
476,L
477,L
478,L
479,L
480,L
481,L
482,L
483,L
484,L
485,L
486,L
487,L
488,L
489,L
490,L
491,L
492,L
493,L
494,B
495,L
496,L
497,L
498,B
499,R
500,L
501,L
502,L
503,L
504,B
505,L
506,L
507,R
508,R
509,R
510,L
511,R
512,R
513,R
514,R
515,L
516,R
517,R
518,R
519,R
520,B
521,R
522,R
523,R
524,R
525,L
526,L
527,L
528,L
529,L
530,L
531,L
532,L
533,L
534,B
535,L
536,L
537,L
538,R
539,R
540,L
541,L
542,R
543,R
544,R
545,L
546,B
547,R
548,R
549,R
550,L
551,L
552,L
553,L
554,L
555,L
556,L
557,L
558,L
559,L
560,L
561,L
562,L
563,L
564,B
565,L
566,L
567,L
568,R
569,R
570,L
571,L
572,B
573,R
574,R
575,L
576,L
577,L
578,L
579,L
580,L
581,L
582,L
583,L
584,L
585,L
586,L
587,L
588,L
589,L
590,L
591,L
592,L
593,L
594,B
595,L
596,L
597,L
598,B
599,R
600,L
601,L
602,L
603,L
604,L
605,L
606,L
607,L
608,L
609,L
610,L
611,L
612,L
613,L
614,L
615,L
616,L
617,L
618,L
619,L
620,L
621,L
622,L
623,L
624,B
